Ruta,Repartidor,Vehículo,Clientes
DR0038,850011,11523838,RECTORIA DE PALAU
DR0038,850011,11523838,TROBADA
DR0038,850011,11523838,COROMINES Coffee & Bakery Brunch
DR0038,850011,11523838,GRANBARA
DR0038,850011,11523838,TEATRE AUDITORI (CATERING)
DR0038,850011,11523838,PEPE.COM
DR0038,850011,11523838,FORN DE PA R. RIUS
DR0038,850011,11523838,FORN EL SAGA
DR0038,850011,11523838,BAR EL RECONET
DR0038,850011,11523838,BAR RESTAURANT PAVEPIC
DR0038,850011,11523838,BAR CLEMEN'S
DR0038,850011,11523838,BAR RUMY
DR0038,850011,11523838,BAR EL GARAJE
DA0216,855203,11523911,BAR ZEMNU
DA0216,855203,11523911,Club Tennis Barcino
DA0216,855203,11523911,CASAL CIVIC TERRASSA
DA0216,855203,11523911,Bar Troika
DA0216,855203,11523911,FRANKFURT REITER
DA0216,855203,11523911,BAR LA PENYA 1
DA0216,855203,11523911,BAR LA PENYA - 2
DA0216,855203,11523911,FORN CAFETERIA AVENIDA
DA0216,855203,11523911,Delight Coffee
DA0216,855203,11523911,Cafeteria Nova & Gent
DA0216,855203,11523911,DIR SANT CUGAT
DA0216,855203,11523911,PISCINAS LES CREMADES
DA0216,855203,11523911,EL DEHESA
DR0045,850000,11527481,Molletveer
DR0045,850000,11527481,AGROBOTIGA DE GALLECS
DR0045,850000,11527481,BAR BY DUNAS MOLLET
DR0045,850000,11527481,RSTE. L'OLIVE
DR0045,850000,11527481,JOAQUIN QUINTANILLA CARICOL
DR0050,855189,11529097,CARNS I EMBOTITS EMPAR
DR0050,855189,11529097,EL SERRADET BAR
DR0050,855189,11529097,PISCINES SANT QUIRZE
DR0050,855189,11529097,EL BARETU
DR0050,855189,11529097,CLUB DARDS BESORA
DR0050,855189,11529097,EL REBOST DE L'ISABEL
DR0050,855189,11529097,BAR LA PUÇA
DR0050,855189,11529097,ELS FOGONS DE LA NEUS
DR0050,855189,11529097,CAL JUTGE
DR0050,855189,11529097,RESTAURANT EL SANTUARI
DR0050,855189,11529097,ENGRUNA POUSA
DR0050,855189,11529097,FORN CAN COMA
DR0050,855189,11529097,RESTAURANT ELS AVETS
DR0050,855189,11529097,BAR NOU
DR0050,855189,11529097,RESTAURANT DORCA
DR0050,855189,11529097,BAR RESTAURANT EL GOT
DR0050,855189,11529097,BAR SNACK
DR0050,855189,11529097,L'OLLA ROSTIDORIA
DR0050,855189,11529097,L'AURO
DR0027,850004,11529096,MANLLEUET Cerveseria Restaurant
DR0027,850004,11529096,DÉJÀ VU
DR0027,850004,11529096,GIOVANNI
DR0027,850004,11529096,JAVIS 3
DR0027,850004,11529096,BAR REST. MANLLEU
DR0027,850004,11529096,BON PROFIT
DR0027,850004,11529096,SALTING GRANOLLERS
DR0027,850004,11529096,BAR TAPES I TAPETES
DR0027,850004,11529096,BAR ARAMAN
DR0027,850004,11529096,BAR BUS STOP
DR0027,850004,11529096,CROISSANTERIA CAPRICI
DR0027,850004,11529096,E.S MANLLEU
DR0027,850004,11529096,CAFE ANTIC
DR0027,850004,11529096,REST.CAL BATLLE
DR0027,850004,11529096,BAR QUINTO I TAPA
DR0027,850004,11529096,LES GARGOLES DEL NORD
DR0052,855184,11529095,HOSPITAL DE VIC CUINA
DR0052,855184,11529095,LLAVORS I CEREALS FONT
DR0010,850010,11529094,Centre Vallès
DR0010,850010,11529094,PAREDES 4
DR0010,850010,11529094,BAR CAN MONIC
DR0010,850010,11529094,RESTAURANT 'LES ARCADES'
DR0010,850010,11529094,GARDEN PIZZA (GRANOLLERS)
DR0010,850010,11529094,BAR?JOAN?PRIM
DR0010,850010,11529094,ESPORTS CLUB GRANOLLERS
DR0010,850010,11529094,BAR RESTAURANTE LE VIS#N
DR0010,850010,11529094,"BAR ""LA OCA"""
DR0010,850010,11529094,BAR EL TUBO
DR0010,850010,11529094,FLECA P.BRETCHA (C/ GIRONA)
DR0010,850010,11529094,XAVISAN
DR0010,850010,11529094,FLECA BRETCHA (PSG. MONTANYA)
DR0010,850010,11529094,BAR RESTAURANTE MORDISQUITO
DR0017,850018,11529124,LA VERMUTERIA
DR0017,850018,11529124,MING BAR RESTAURANTE
DR0017,850018,11529124,BAR CHAMPANILLO
DR0017,850018,11529124,BAR DE L?ILLA
DR0017,850018,11529124,PRATS PA (ILLA)
DR0017,850018,11529124,GIN BAR
DR0017,850018,11529124,BAR LA MARTINA
DR0017,850018,11529124,PALENTINO BAR
DR0017,850018,11529124,MANJARI
DR0017,850018,11529124,PRATS PA
DR0017,850018,11529123,NOU CUSTOM BAR CAFETERÍA
DR0017,850018,11529123,EL REFUGIO
DR0017,850018,11529123,LA PRUNA
DR0017,850018,11529123,Confidencial
DR0017,850018,11529123,CAL JORDI BAR
DR0017,850018,11529123,BAR RESTAURANTE NEORIS
DR0017,850018,11529123,ICE CUSTOM
DR0017,850018,11529123,SABOR MANABITA (COSTAVERDE)
DR0006,850006,11529122,BAR BY DUNAS MOLLET
DR0006,850006,11529122,LA TAVERNA DE CAN PANTIQUET
DR0006,850006,11529122,KAPHIY BRUNCH
DR0006,850006,11529122,BAR PHILADELPHIA
DR0006,850006,11529122,LA GRANJA
DR0006,850006,11529122,BAR RESTAURANT GAUDI
DR0006,850006,11529122,BAR LA TIETA
DR0006,850006,11529122,BAR MEJIAS
DR0006,850006,11529122,RESTAURANT KENFIR
DR0006,850006,11529122,BAR GRANJA J.J.
DR0006,850006,11529122,ZAMORA BAR
DR0006,850006,11529122,LA PERA BAR
DR0006,850006,11529122,"AUTORACING MOLLET, S.L."
DR0006,850006,11529122,EUROPA BAR
DR0006,850006,11529122,BAR CASA PEDRO
DR0006,850006,11529122,ESPAI BAR
DR0006,850006,11529122,GRANJA ESTEL
DR0032,850014,11529121,La Sala
DR0032,850014,11529121,MAISON DU GRAIN (LLISA AMUNT)
DR0032,850014,11529121,MAISON DU GRAIN (STA EULALIA)
DR0032,850014,11529121,BAR LA CANYA - 3
DR0032,850014,11529121,MESON 20 P KA
DR0032,850014,11529121,CULTURAL LA FABRICA
DR0032,850014,11529121,Asso. Gent Gran Llissa de Munt
DR0032,850014,11529121,FRANFURT 151
DR0032,850014,11529121,FRANKFURT LA CANYA
DR0032,850014,11529121,BAR ALIANÇA
DR0032,850014,11529121,BAR CAFETERIA LLIÇÀ D’AMUNT
DR0032,850014,11529121,FLECA BRETCHA (LLIÇA DE MUNT)
DR0032,850014,11529121,BAR LA MIRANDA
DR0032,850014,11529121,RESTAURANTE LOS ANGELES
DR0023,850013,11529100,CULTURAL CAN ROVIRA
DR0023,850013,11529100,BAR COCO
DR0023,850013,11529100,Casal de la Gent Gran de Palaudàrie
DR0023,850013,11529100,RSTE. L'OLIVE
DR0023,850013,11529100,BAR AVENIDA PARETS
DR0023,850013,11529100,RESTAURANTE SIBLINGS
DR0023,850013,11529100,LA TAVERNA DEL ULTIMO HEAVY
DR0023,850013,11529100,PASTISSERIA JOAN
DR0023,850013,11529100,PISCINAS LES CREMADES
DR0023,850013,11529100,BAR LA TAHONA
DR0023,850013,11529100,THE JOSE'S BAR PARETS
DR0023,850013,11529100,Restaurante Adela de Lliçà d'Amunt
DR0023,850013,11529100,BAR ROMERO
DR0054,855205,11529183,BAR CAMP DE TIR
DR0054,855205,11529183,BAR STACJA PL
DR0054,855205,11529183,SARABÀ
DR0054,855205,11529183,BAR UE VIC
